wind_farm_name,LAT,LON,area,country,commissioning_year,installed_capacity_MW,turbine_model,foundation_type,water_depth_m,distance_from_shore_km,total_project_budget,turbine_costs,foundation_costs,array_cable_costs,export_cable_costs,offshore_substation_costs,offshore_installation_costs,OPEX_per_MWh,inflation_rate,capacity_factor,WACC,discount_rate,project_lifetime_years,foundation_scope,mean_wind_speed_mps,mean_wave_height_m,total_project_budget_eur,total_project_budget_eur_indexed,data_quality_flag
Deutsche Bucht,54.305,5.799,22.6,Germany,2020.0,269.0,MHI Vestas V164-8.4 MW,Monopile,40.0,100.0,EUR 1.4 billion,,,,,,,,,,,,25.0,Unknown,9.82264562714046,9.0,1400000000.0,1576627386.9696002,indexed_6y
Trianel Windpark Borkum II,54.0417,6.4667,56.0,Germany,2020.0,200.0,Senvion 6.2M152,Monopile,30.0,45.0,EUR 800 million,,,,,,,,,,,,25.0,Unknown,9.706684398872437,9.0,800000000.0,900929935.4112,indexed_6y
Kaskasi,54.485,7.45,17.0,Germany,2022.0,342.0,Siemens Gamesa SG 8.0-167 DD,Monopile,,35.0,EUR 800 million,,,,,,,,,,,,25.0,Unknown,9.986889920581255,9.0,800000000.0,800000000.0,recent
Baltic Eagle,54.832,13.84,40.0,Germany,2024.0,476.0,Vestas V174-9.5 MW,Monopile,43.0,30.0,EUR 1.6 billion,,,,,,,,,,,,25.0,Unknown,9.239589166894412,9.0,1600000000.0,1600000000.0,recent
Gode Wind 3,53.865,7.151,18.0,Germany,2025.0,253.0,Siemens Gamesa SG 11.0-200 DD,Monopile,,32.0,EUR 946 million,,,,,,,,,,,,25.0,Unknown,9.726675965499371,9.0,946000000.0,946000000.0,recent
Borkum Riffgrund 3,54.015,6.435,75.0,Germany,2026.0,913.0,Siemens Gamesa SG 11.0-200 DD,Monopile,31.0,110.0,EUR 2.4 billion,,,,,,,,,,,,25.0,Unknown,9.755411350391304,9.0,2400000000.0,2400000000.0,recent
EnBW He Dreiht,54.212,6.255,63.0,Germany,2026.0,960.0,Vestas V236-15.0 MW,Monopile,38.0,90.0,EUR 2.4 billion,,,,,,,,,,,,25.0,Unknown,9.982614927485114,9.0,2400000000.0,2400000000.0,recent
Windanker,54.85,13.91,18.0,Germany,2026.0,315.0,Siemens Gamesa SG 14-236 DD,Monopile,43.5,38.0,EUR 1 billion,,,,,,,,,,,,25.0,Unknown,9.249518998681355,9.0,1000000000.0,1000000000.0,recent
Nordlicht 1,54.21,6.12,115.0,Germany,2028.0,980.0,Vestas V236-15.0 MW,Monopile,38.0,96.0,EUR 5 billion (combined 1+2),,,,,,,,,,,,25.0,Unknown,9.978520235542192,9.0,2666666666.6666665,2666666666.6666665,recent
Vindeby,54.962,11.13,0.4,Denmark,1991.0,4.95,Bonus B35/450,Gravity-based,3.0,2.25,EUR 10 million,,,,,,,,,,,,25.0,Unknown,9.291118469754691,9.0,10000000.0,19998895.526624564,indexed_35y
Middelgrunden,55.69,12.666,1.0,Denmark,2000.0,40.0,Bonus 2MW,Gravity-based,4.5,2.0,EUR 48 million,,,,,,,,,0.2527,,,25.0,Unknown,8.8538817659472,9.0,48000000.0,80324069.48899321,indexed_26y
Horns Rev 1,55.475,7.842,20.0,Denmark,2002.0,160.0,Vestas V80-2.0MW,Monopile,10.0,17.0,DKK 2 billion,,,,,,,,,0.37,,,25.0,Unknown,9.482484585239177,9.0,268944000.0,432579547.6228652,indexed_24y
Nysted (Rodsand I),54.55,11.715,26.0,Denmark,2003.0,165.6,Siemens SWT-2.3-82,Gravity-based,9.0,10.0,DKK 1600 million,,,,,,,,,0.39,,,25.0,Unknown,9.472096302928305,9.0,215377600.0,339628778.9633093,indexed_23y
Horns Rev 2,55.6,7.585,33.0,Denmark,2009.0,209.0,Siemens SWT-2.3-93,Monopile,10.0,32.0,USD 1 billion,,,,,,,,,0.50,,,25.0,Unknown,9.5385940462287,9.0,718546000.0,1006137870.7950401,indexed_17y
Rodsand II,54.558,11.545,34.0,Denmark,2010.0,207.0,Siemens SWT-2.3-93,Gravity-based,9.0,8.8,EUR 450 million,,,,,,,,,,,,25.0,Unknown,9.347863758461191,9.0,450000000.0,617753567.2907757,indexed_16y
Anholt,56.598,11.205,88.0,Denmark,2013.0,400.0,Siemens SWP-3.6-120,Monopile,17.0,15.0,DKK 10 billion,,,,,,,,,0.466,,,25.0,Unknown,9.209158523386058,9.0,1340300000.0,1733820966.7972236,indexed_13y
Horns Rev 3,55.705,7.68,44.0,Denmark,2019.0,407.0,MHI Vestas V164-8.3MW,Monopile,15.0,27.5,GBP 1 billion,,,,,,,,,0.34,,,25.0,Unknown,9.526989995053569,9.0,1117905000.0,1284121451.2934685,indexed_7y
Kriegers Flak,55.02,12.82,132.0,Denmark,2021.0,605.0,Siemens Gamesa SG 8.4-167 DD,Monopile,20.0,27.5,EUR 1.3 billion,,,,,,,,,0.46,,,25.0,Unknown,9.445088195522231,9.0,1300000000.0,1300000000.0,recent
Vesterhav Nord,56.618,8.046,15.0,Denmark,2024.0,176.0,Siemens Gamesa SG 8.0-167 DD,Monopile,20.0,7.75,EUR 769 million (combined N+S),,,,,,,,,0.52,,,25.0,Unknown,9.833853726537294,9.0,769000000.0,769000000.0,recent
Vesterhav Syd,56.078,8.012,14.0,Denmark,2024.0,168.0,Siemens Gamesa SG 8.0-167 DD,Monopile,20.0,7.75,EUR 769 million (combined N+S),,,,,,,,,0.52,,,25.0,Unknown,9.474119545804463,9.0,769000000.0,769000000.0,recent
