wind_farm_name,LAT,LON,area_sqkm,country,commissioning_year,installed_capacity_MW,turbine_producer,turbine_power_MW,foundation_type,oss_responsibility,offshore_cable,onshore_connection,model_type,water_depth_m,water_depth_min_m,water_depth_max_m,water_depth_mean_m,distance_from_shore_km,distance_from_shore_min_km,distance_from_shore_max_km,distance_from_shore_mean_km,distance_from_port_km,distance_from_construction_port_km,total_project_budget,total_project_budget_eur,total_project_budget_eur_indexed,project_lifetime_years,mean_wind_speed_mps,mean_wave_height_m,country_Belgium,country_Denmark,country_Finland,country_France,country_Germany,country_Ireland,country_Italy,country_Netherlands,country_Norway,country_Poland,country_Portugal,country_Sweden,country_UK,turbine_producer_Siemens,turbine_producer_Unknown,foundation_type_Floating,foundation_type_Floating TLP,foundation_type_Floating TetraSpar,foundation_type_Floating concrete spar buoy,foundation_type_Floating damping pool,foundation_type_Floating semi-submersible,foundation_type_Floating spar buoy,foundation_type_Gravity-based,foundation_type_Gravity-based / Jacket,foundation_type_Jacket,foundation_type_Jacket / Tripod,foundation_type_Monopile,foundation_type_Monopile / Jacket,foundation_type_Suction Bucket Jacket,foundation_type_Suction Bucket Jacket / Monopile,foundation_type_Tripile,foundation_type_Tripod,foundation_type_Tripod jacket,foundation_type_Tripod jacket with suction bucket,foundation_type_Unknown,oss_responsibility_Developer,oss_responsibility_OFTO,oss_responsibility_TSO,oss_responsibility_Unknown,offshore_cable_Developer,offshore_cable_OFTO,offshore_cable_TSO,offshore_cable_Unknown,onshore_connection_Developer,onshore_connection_Developer/TSO,onshore_connection_OFTO,onshore_connection_TSO,onshore_connection_Unknown,model_type_Developer-led,model_type_OFTO,model_type_TSO-led,model_type_Unknown,data_quality_flag
Kentish Flats,51.46,1.09,,UK,2005.0,90.0,Unknown,,Monopile,Developer,Developer,Developer,Developer-led,5-8,5.0,8.0,6.5,8.9-10,8.9,10.0,9.45,,145.1173773191895,GBP 105 million,148925595.0,249136626.0777632,25.0,8.621741127578625,1.14,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,indexed_wb_2005
Kentish Flats Extension,51.46,1.09,,UK,2015.0,49.5,Unknown,,Monopile,OFTO,OFTO,OFTO,OFTO,5-8,5.0,8.0,6.5,10,10.0,10.0,10.0,,145.1173773191895,GBP 150 million,192579300.0,255846872.34769717,25.0,8.621741127578625,1.14,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,indexed_wb_2015
Scroby Sands,52.65,1.78,,UK,2004.0,60.0,Unknown,,Monopile,Developer,Developer,Developer,Developer-led,13-20,13.0,20.0,16.5,2.5,2.5,2.5,2.5,,7.848885271170457,GBP 75.5 million,107122571.0,182948457.71491355,25.0,9.19869289542277,1.04,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,indexed_wb_2004
North Hoyle,53.433,-3.4,,UK,2003.0,60.0,Unknown,,Monopile,Developer,Developer,Developer,Developer-led,12,12.0,12.0,12.0,7.5,7.5,7.5,7.5,,19.662358403813332,GBP 80 million,122982320.0,212954721.17314833,25.0,8.810314922323109,0.62,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,indexed_wb_2003
Rampion,50.666,-0.266,,UK,2018.0,400.0,Unknown,,Monopile,OFTO,OFTO,OFTO,OFTO,19-40,19.0,40.0,29.5,13-25,13.0,25.0,19.0,,308.4995744113762,GBP 1.3 billion,1465233900.0,1836987306.3232443,25.0,9.213718519093261,1.44,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,indexed_wb_2018
Humber Gateway,53.64278987612652,0.296802300153941,35.0,UK,2015.0,219.0,Unknown,,Monopile,OFTO,OFTO,OFTO,OFTO,15,15.0,15.0,15.0,8,8.0,8.0,8.0,,64.95087858391818,GBP 700 million,898703400.0,1193952070.9559202,25.0,9.300777670282304,0.64,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,indexed_wb_2015
Westermost Rough,53.78104801813828,0.2148424662161718,35.0,UK,2015.0,210.0,Unknown,,Monopile,OFTO,OFTO,OFTO,OFTO,,,,,8,8.0,8.0,8.0,,55.07265181108338,GBP 800 million,1027089600.0,1364516652.5210516,25.0,9.540545798034914,0.68,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,indexed_wb_2015
Gunfleet Sands,51.739444,1.174444,17.05,UK,2010.0,172.0,Unknown,,Monopile,Developer,Developer,Developer,Developer-led,2-15,2.0,15.0,8.5,7,7.0,7.0,7.0,,113.69776642401276,GBP 305 million,343429695.0,506252336.60024136,25.0,8.642261865688058,1.24,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,indexed_wb_2010
Teesside,54.60234189553078,-1.4295520401172217,,UK,2014.0,62.0,Unknown,,Monopile,OFTO,OFTO,OFTO,OFTO,,,,,1.5,1.5,1.5,1.5,,29.661292550856878,GBP 4 billion,4797888000.0,6397585328.983685,25.0,8.99853108615951,2.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,indexed_wb_2014
Blyth Offshore (Original),55.135833,-1.490278,,UK,2000.0,4.0,Unknown,,Monopile,Developer,Developer,Developer,Developer-led,10,10.0,10.0,10.0,2,2.0,2.0,2.0,,65.82366835259566,EUR 4.6 million,4600000.0,8323337.116912616,19.0,9.40282116103928,0.58,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,indexed_wb_2000
